lcl|CP094940.1_prot_UOM46721.1_1	K02313
lcl|CP094940.1_prot_UOM46722.1_2	K02338
lcl|CP094940.1_prot_UOM46723.1_3	K03629
lcl|CP094940.1_prot_UOM46724.1_4	K02470
lcl|CP094940.1_prot_UOM46728.1_8	K19776
lcl|CP094940.1_prot_UOM46729.1_9	K00883
lcl|CP094940.1_prot_UOM46730.1_10	K01631
lcl|CP094940.1_prot_UOM46731.1_11	K01684
lcl|CP094940.1_prot_UOM46732.1_12	K08194
lcl|CP094940.1_prot_UOM46735.1_15	K04080
lcl|CP094940.1_prot_UOM46736.1_16	K04081
lcl|CP094940.1_prot_MUB43_00085_17	K14623
lcl|CP094940.1_prot_UOM46737.1_18	K07085
lcl|CP094940.1_prot_UOM46738.1_19	K03482
lcl|CP094940.1_prot_UOM46738.1_19	K03710
lcl|CP094940.1_prot_UOM46738.1_19	K11922
lcl|CP094940.1_prot_UOM46739.1_20	K02749
lcl|CP094940.1_prot_UOM46739.1_20	K02750
lcl|CP094940.1_prot_UOM46740.1_21	K01222
lcl|CP094940.1_prot_UOM46740.1_21	K01232
lcl|CP094940.1_prot_UOM46741.1_22	K00389
lcl|CP094940.1_prot_UOM49326.1_24	K06871
lcl|CP094940.1_prot_UOM49327.1_25	K01753
lcl|CP094940.1_prot_UOM46743.1_26	K03299
lcl|CP094940.1_prot_UOM46743.1_26	K13629
lcl|CP094940.1_prot_UOM46745.1_28	K03566
lcl|CP094940.1_prot_UOM46745.1_28	K13636
lcl|CP094940.1_prot_UOM46746.1_29	K07552
lcl|CP094940.1_prot_UOM46746.1_29	K08154
lcl|CP094940.1_prot_UOM46752.1_35	K01652
lcl|CP094940.1_prot_UOM46753.1_36	K01653
lcl|CP094940.1_prot_UOM46754.1_37	K07686
lcl|CP094940.1_prot_UOM46754.1_37	K07689
lcl|CP094940.1_prot_UOM49328.1_38	K07675
lcl|CP094940.1_prot_UOM49328.1_38	K20263
lcl|CP094940.1_prot_UOM46755.1_39	K07783
lcl|CP094940.1_prot_UOM46756.1_40	K07784
lcl|CP094940.1_prot_UOM46758.1_42	K07726
lcl|CP094940.1_prot_UOM46759.1_44	K03445
lcl|CP094940.1_prot_UOM46760.1_45	K05306
lcl|CP094940.1_prot_UOM46761.1_46	K00830
