lcl|CP094940.1_prot_UOM46722.1_2	2.7.7.7
lcl|CP094940.1_prot_UOM46724.1_4	5.99.1.3
lcl|CP094940.1_prot_UOM46729.1_9	2.7.1.58
lcl|CP094940.1_prot_UOM46730.1_10	4.1.2.21
lcl|CP094940.1_prot_UOM46731.1_11	4.2.1.6
lcl|CP094940.1_prot_UOM46739.1_20	2.7.1.208
lcl|CP094940.1_prot_UOM46740.1_21	3.2.1.122
lcl|CP094940.1_prot_UOM46740.1_21	3.2.1.86
lcl|CP094940.1_prot_UOM49327.1_25	4.3.1.18
lcl|CP094940.1_prot_UOM46752.1_35	2.2.1.6
lcl|CP094940.1_prot_UOM46753.1_36	2.2.1.6
lcl|CP094940.1_prot_UOM49328.1_38	2.7.13.3
lcl|CP094940.1_prot_UOM46760.1_45	3.11.1.1
lcl|CP094940.1_prot_UOM46761.1_46	2.6.1.112
lcl|CP094940.1_prot_UOM46761.1_46	2.6.1.37
lcl|CP094940.1_prot_UOM46761.1_46	2.6.1.44
lcl|CP094940.1_prot_UOM46761.1_46	2.6.1.45
lcl|CP094940.1_prot_UOM46761.1_46	2.6.1.51
lcl|CP094940.1_prot_UOM46767.1_53	2.7.1.196
lcl|CP094940.1_prot_UOM46767.1_53	2.7.1.205
lcl|CP094940.1_prot_UOM46769.1_55	2.7.1.196
lcl|CP094940.1_prot_UOM46769.1_55	2.7.1.205
lcl|CP094940.1_prot_UOM46771.1_58	1.13.11.57
lcl|CP094940.1_prot_UOM46771.1_58	1.13.11.8
lcl|CP094940.1_prot_UOM46773.1_60	4.2.1.83
lcl|CP094940.1_prot_UOM46774.1_61	4.1.3.17
lcl|CP094940.1_prot_UOM46775.1_62	5.3.2.8
lcl|CP094940.1_prot_UOM46777.1_66	2.7.1.192
lcl|CP094940.1_prot_UOM46778.1_67	4.2.1.126
lcl|CP094940.1_prot_UOM46795.1_84	3.6.1.13
lcl|CP094940.1_prot_UOM46804.1_93	3.2.1.177
lcl|CP094940.1_prot_UOM46806.1_95	3.2.1.86
lcl|CP094940.1_prot_UOM46807.1_96	2.7.1.199
lcl|CP094940.1_prot_UOM46807.1_96	2.7.1.208
lcl|CP094940.1_prot_UOM46811.1_100	2.7.1.30
lcl|CP094940.1_prot_UOM46815.1_104	3.6.1.26
lcl|CP094940.1_prot_UOM46817.1_106	5.3.1.1
lcl|CP094940.1_prot_UOM46820.1_109	1.18.1.2
lcl|CP094940.1_prot_UOM46820.1_109	1.19.1.1
